Subject	Trial	TargBinary	ExpCond	PrimeCategory	PrimeType
1	1	0	Different	Locative	Prime_B
1	2	1	Same	Transitive	Prime_B
1	3	0	Same	Locative	Prime_B
1	4	1	Different	Transitive	Prime_B
1	5	0	Same	Dative	Prime_A
1	7	0	Different	Dative	Prime_A
1	8	1	Same	Transitive	Prime_A
1	9	0	Same	Dative	Prime_B
1	11	0	Different	Dative	Prime_B
1	12	1	Different	Transitive	Prime_A
1	13	0	Same	Dative	Prime_B
1	14	0	Different	Locative	Prime_B
1	15	1	Same	Transitive	Prime_A
1	17	0	Different	Transitive	Prime_B
1	18	1	Different	Locative	Prime_A
1	19	1	Different	Transitive	Prime_A
1	20	1	Different	Dative	Prime_A
1	22	0	Same	Transitive	Prime_B
1	23	0	Different	Dative	Prime_B
1	24	0	Same	Locative	Prime_B
2	12	1	Same	Transitive	Prime_A
2	11	0	Same	Dative	Prime_B
2	9	1	Different	Dative	Prime_B
2	8	1	Different	Transitive	Prime_A
2	7	1	Same	Dative	Prime_A
2	5	1	Different	Dative	Prime_A
2	4	1	Same	Transitive	Prime_B
2	2	1	Different	Transitive	Prime_B
2	1	0	Same	Locative	Prime_B
2	24	0	Different	Locative	Prime_B
2	23	1	Same	Dative	Prime_B
2	22	1	Different	Transitive	Prime_B
2	21	1	Different	Locative	Prime_A
2	20	1	Same	Dative	Prime_A
2	19	1	Same	Transitive	Prime_A
2	18	1	Same	Locative	Prime_A
2	17	0	Same	Transitive	Prime_B
2	16	1	Different	Dative	Prime_A
2	15	1	Different	Transitive	Prime_A
2	14	0	Same	Locative	Prime_B
2	13	1	Different	Dative	Prime_B
3	1	1	Same	Locative	Prime_A
3	2	0	Different	Transitive	Prime_A
3	3	0	Different	Locative	Prime_A
3	4	0	Same	Transitive	Prime_A
3	5	0	Different	Dative	Prime_B
3	7	1	Same	Dative	Prime_B
3	8	1	Different	Transitive	Prime_B
3	9	1	Different	Dative	Prime_A
3	10	1	Same	Locative	Prime_B
3	11	1	Same	Dative	Prime_A
3	12	0	Same	Transitive	Prime_B
3	13	0	Different	Dative	Prime_A
3	14	1	Same	Locative	Prime_A
3	15	1	Different	Transitive	Prime_B
3	17	1	Same	Transitive	Prime_A
3	18	1	Same	Locative	Prime_B
3	19	0	Same	Transitive	Prime_B
3	20	0	Same	Dative	Prime_B
3	21	1	Different	Locative	Prime_B
3	22	1	Different	Transitive	Prime_A
3	23	1	Same	Dative	Prime_A
3	24	0	Different	Locative	Prime_A
4	12	0	Different	Transitive	Prime_B
4	11	1	Different	Dative	Prime_A
4	9	1	Same	Dative	Prime_A
4	8	0	Same	Transitive	Prime_B
4	7	0	Different	Dative	Prime_B
4	6	1	Same	Locative	Prime_B
4	5	1	Same	Dative	Prime_B
4	4	1	Different	Transitive	Prime_A
4	3	1	Same	Locative	Prime_A
4	2	1	Same	Transitive	Prime_A
4	1	1	Different	Locative	Prime_A
4	24	1	Same	Locative	Prime_A
4	23	1	Different	Dative	Prime_A
4	22	1	Same	Transitive	Prime_A
4	21	0	Same	Locative	Prime_B
4	20	1	Different	Dative	Prime_B
4	19	0	Different	Transitive	Prime_B
4	18	1	Different	Locative	Prime_B
4	17	1	Different	Transitive	Prime_A
4	16	1	Same	Dative	Prime_B
4	15	0	Same	Transitive	Prime_B
4	13	1	Same	Dative	Prime_A
5	12	1	Same	Transitive	Prime_A
5	11	1	Same	Dative	Prime_B
5	10	1	Same	Locative	Prime_A
5	9	1	Different	Dative	Prime_B
5	8	1	Different	Transitive	Prime_A
5	7	0	Same	Dative	Prime_A
5	6	1	Different	Locative	Prime_A
5	5	1	Different	Dative	Prime_A
