Subject	Trial	PrimeCategory	PT	TargBInary	PrimeType
1	1	AP	0	1	Dispreferred
1	3	Dat	1	1	Preferred
1	4	AP	0	1	Dispreferred
1	5	SL	1	1	Preferred
1	6	Dat	0	0	Dispreferred
1	7	AP	1	1	Preferred
1	8	SL	0	1	Dispreferred
1	10	AP	1	0	Preferred
1	11	SL	0	0	Dispreferred
1	13	AP	1	0	Preferred
1	14	SL	1	1	Preferred
1	15	Dat	1	1	Preferred
1	16	AP	0	0	Dispreferred
1	17	SL	0	1	Dispreferred
1	19	AP	1	0	Preferred
1	21	Dat	0	0	Dispreferred
1	22	AP	0	1	Dispreferred
1	27	Dat	1	1	Preferred
1	28	AP	0	1	Dispreferred
1	30	Dat	0	1	Dispreferred
1	31	AP	1	1	Preferred
1	33	Dat	0	1	Dispreferred
1	34	AP	1	0	Preferred
1	36	Dat	1	1	Preferred
1	37	AP	1	1	Preferred
1	38	SL	1	0	Preferred
1	39	Dat	0	1	Dispreferred
1	40	AP	1	1	Preferred
1	41	SL	0	0	Dispreferred
1	42	Dat	1	1	Preferred
1	43	AP	0	0	Dispreferred
1	44	SL	1	1	Preferred
1	45	Dat	1	1	Preferred
1	47	SL	0	1	Dispreferred
2	1	AP	1	1	Preferred
2	3	Dat	0	0	Dispreferred
2	4	AP	1	1	Preferred
2	5	SL	0	1	Dispreferred
2	6	Dat	1	0	Preferred
2	7	AP	0	1	Dispreferred
2	9	Dat	0	0	Dispreferred
2	10	AP	0	0	Dispreferred
2	11	SL	1	0	Preferred
2	12	Dat	1	0	Preferred
2	13	AP	0	1	Dispreferred
2	14	SL	0	1	Dispreferred
2	15	Dat	0	1	Dispreferred
2	16	AP	1	1	Preferred
2	18	Dat	0	1	Dispreferred
2	19	AP	0	1	Dispreferred
2	20	SL	1	1	Preferred
2	21	Dat	1	0	Preferred
2	22	AP	1	1	Preferred
2	23	SL	0	1	Dispreferred
2	24	Dat	1	1	Preferred
2	25	AP	1	0	Preferred
2	26	SL	1	1	Preferred
2	27	Dat	0	0	Dispreferred
2	28	AP	1	1	Preferred
2	30	Dat	1	1	Preferred
2	31	AP	0	0	Dispreferred
2	33	Dat	1	1	Preferred
2	34	AP	0	0	Dispreferred
2	36	Dat	0	1	Dispreferred
2	37	AP	0	0	Dispreferred
2	38	SL	0	1	Dispreferred
2	39	Dat	1	1	Preferred
2	40	AP	0	0	Dispreferred
2	41	SL	1	1	Preferred
2	42	Dat	0	0	Dispreferred
2	43	AP	1	0	Preferred
2	44	SL	0	1	Dispreferred
2	45	Dat	0	1	Dispreferred
2	46	AP	1	1	Preferred
2	47	SL	1	1	Preferred
2	48	Dat	1	0	Preferred
3	1	AP	0	1	Dispreferred
3	3	Dat	1	0	Preferred
3	4	AP	0	1	Dispreferred
3	6	Dat	0	0	Dispreferred
3	7	AP	1	1	Preferred
3	10	AP	1	0	Preferred
3	12	Dat	0	0	Dispreferred
3	13	AP	1	1	Preferred
3	14	SL	1	1	Preferred
3	15	Dat	1	0	Preferred
3	16	AP	0	1	Dispreferred
3	19	AP	1	1	Preferred
3	20	SL	0	1	Dispreferred
3	21	Dat	0	0	Dispreferred
3	23	SL	1	1	Preferred
3	24	Dat	0	0	Dispreferred
3	25	AP	0	0	Dispreferred
3	27	Dat	1	1	Preferred
3	28	AP	0	1	Dispreferred
3	29	SL	1	1	Preferred
3	31	AP	1	1	Preferred
3	37	AP	1	1	Preferred
3	38	SL	1	1	Preferred
3	39	Dat	0	1	Dispreferred
3	40	AP	1	0	Preferred
3	42	Dat	1	1	Preferred
3	43	AP	0	0	Dispreferred
3	45	Dat	1	1	Preferred
3	47	SL	0	0	Dispreferred
3	48	Dat	0	0	Dispreferred
4	1	AP	0	1	Dispreferred
4	2	SL	1	1	Preferred
4	4	AP	0	1	Dispreferred
4	5	SL	1	1	Preferred
4	6	Dat	0	1	Dispreferred
4	7	AP	1	1	Preferred
4	10	AP	1	1	Preferred
4	11	SL	0	0	Dispreferred
4	12	Dat	0	1	Dispreferred
4	13	AP	1	1	Preferred
4	14	SL	1	0	Preferred
4	15	Dat	1	0	Preferred
4	16	AP	0	1	Dispreferred
4	19	AP	1	1	Preferred
4	20	SL	0	1	Dispreferred
4	21	Dat	0	1	Dispreferred
4	22	AP	0	1	Dispreferred
4	25	AP	0	0	Dispreferred
4	26	SL	0	0	Dispreferred
4	27	Dat	1	1	Preferred
4	28	AP	0	1	Dispreferred
4	30	Dat	0	1	Dispreferred
4	31	AP	1	0	Preferred
4	32	SL	1	1	Preferred
4	33	Dat	0	1	Dispreferred
4	34	AP	1	0	Preferred
4	35	SL	0	0	Dispreferred
4	36	Dat	1	1	Preferred
4	37	AP	1	1	Preferred
4	38	SL	1	0	Preferred
4	39	Dat	0	0	Dispreferred
4	40	AP	1	1	Preferred
4	41	SL	0	0	Dispreferred
4	42	Dat	1	1	Preferred
4	43	AP	0	1	Dispreferred
4	44	SL	1	1	Preferred
4	45	Dat	1	0	Preferred
4	47	SL	0	0	Dispreferred
4	48	Dat	0	0	Dispreferred
5	1	AP	1	0	Preferred
5	3	Dat	0	1	Dispreferred
5	4	AP	1	1	Preferred
5	5	SL	0	1	Dispreferred
5	6	Dat	1	0	Preferred
5	7	AP	0	1	Dispreferred
5	10	AP	0	0	Dispreferred
5	11	SL	1	1	Preferred
5	12	Dat	1	1	Preferred
5	13	AP	0	1	Dispreferred
5	14	SL	0	1	Dispreferred
5	15	Dat	0	1	Dispreferred
5	18	Dat	0	1	Dispreferred
5	19	AP	0	1	Dispreferred
5	20	SL	1	1	Preferred
5	21	Dat	1	1	Preferred
5	22	AP	1	1	Preferred
5	23	SL	0	1	Dispreferred
5	24	Dat	1	0	Preferred
5	25	AP	1	0	Preferred
5	27	Dat	0	1	Dispreferred
5	28	AP	1	1	Preferred
5	29	SL	0	1	Dispreferred
5	31	AP	0	0	Dispreferred
5	32	SL	0	1	Dispreferred
5	33	Dat	1	1	Preferred
5	37	AP	0	0	Dispreferred
5	38	SL	0	0	Dispreferred
5	39	Dat	1	1	Preferred
5	40	AP	0	1	Dispreferred
5	41	SL	1	1	Preferred
5	42	Dat	0	1	Dispreferred
5	43	AP	1	0	Preferred
5	44	SL	0	1	Dispreferred
5	45	Dat	0	0	Dispreferred
5	47	SL	1	1	Preferred
5	48	Dat	1	1	Preferred
6	1	AP	0	1	Dispreferred
6	4	AP	0	1	Dispreferred
6	6	Dat	0	1	Dispreferred
6	9	Dat	1	1	Preferred
6	10	AP	1	1	Preferred
6	11	SL	0	1	Dispreferred
6	13	AP	1	1	Preferred
6	14	SL	1	1	Preferred
6	15	Dat	1	1	Preferred
6	16	AP	0	1	Dispreferred
6	18	Dat	1	1	Preferred
6	19	AP	1	1	Preferred
6	21	Dat	0	1	Dispreferred
6	22	AP	0	1	Dispreferred
6	24	Dat	0	1	Dispreferred
6	25	AP	0	0	Dispreferred
6	26	SL	0	0	Dispreferred
6	27	Dat	1	1	Preferred
6	28	AP	0	0	Dispreferred
6	30	Dat	0	1	Dispreferred
6	31	AP	1	0	Preferred
6	33	Dat	0	1	Dispreferred
6	34	AP	1	0	Preferred
6	37	AP	1	1	Preferred
6	39	Dat	0	1	Dispreferred
6	40	AP	1	1	Preferred
6	42	Dat	1	1	Preferred
6	43	AP	0	1	Dispreferred
6	45	Dat	1	1	Preferred
6	47	SL	0	1	Dispreferred
6	48	Dat	0	1	Dispreferred
7	1	AP	1	1	Preferred
7	3	Dat	0	0	Dispreferred
7	4	AP	1	1	Preferred
7	6	Dat	1	0	Preferred
7	7	AP	0	0	Dispreferred
7	9	Dat	0	0	Dispreferred
7	10	AP	0	1	Dispreferred
7	12	Dat	1	0	Preferred
7	13	AP	0	1	Dispreferred
7	14	SL	0	1	Dispreferred
7	15	Dat	0	1	Dispreferred
7	16	AP	1	1	Preferred
7	17	SL	1	0	Preferred
7	19	AP	0	0	Dispreferred
7	20	SL	1	1	Preferred
7	21	Dat	1	0	Preferred
7	22	AP	1	1	Preferred
7	23	SL	0	0	Dispreferred
7	24	Dat	1	0	Preferred
7	25	AP	1	0	Preferred
7	27	Dat	0	0	Dispreferred
7	28	AP	1	1	Preferred
7	29	SL	0	0	Dispreferred
7	30	Dat	1	0	Preferred
7	31	AP	0	0	Dispreferred
7	32	SL	0	1	Dispreferred
7	33	Dat	1	1	Preferred
7	36	Dat	0	1	Dispreferred
7	37	AP	0	0	Dispreferred
7	38	SL	0	0	Dispreferred
7	39	Dat	1	0	Preferred
7	40	AP	0	1	Dispreferred
7	41	SL	1	0	Preferred
7	42	Dat	0	0	Dispreferred
7	43	AP	1	0	Preferred
7	44	SL	0	0	Dispreferred
7	45	Dat	0	0	Dispreferred
7	46	AP	1	1	Preferred
7	47	SL	1	1	Preferred
7	48	Dat	1	0	Preferred
8	1	AP	0	1	Dispreferred
8	3	Dat	1	0	Preferred
8	4	AP	0	1	Dispreferred
8	6	Dat	0	1	Dispreferred
8	7	AP	1	1	Preferred
8	8	SL	0	0	Dispreferred
8	10	AP	1	1	Preferred
8	11	SL	0	0	Dispreferred
8	12	Dat	0	1	Dispreferred
8	15	Dat	1	1	Preferred
8	16	AP	0	1	Dispreferred
8	18	Dat	1	1	Preferred
8	19	AP	1	1	Preferred
8	20	SL	0	1	Dispreferred
8	21	Dat	0	0	Dispreferred
8	22	AP	0	1	Dispreferred
8	23	SL	1	1	Preferred
8	24	Dat	0	1	Dispreferred
8	26	SL	0	0	Dispreferred
8	27	Dat	1	1	Preferred
8	28	AP	0	1	Dispreferred
8	29	SL	1	1	Preferred
8	30	Dat	0	1	Dispreferred
8	31	AP	1	0	Preferred
8	32	SL	1	1	Preferred
8	33	Dat	0	1	Dispreferred
8	34	AP	1	0	Preferred
8	35	SL	0	1	Dispreferred
8	37	AP	1	1	Preferred
8	38	SL	1	1	Preferred
8	39	Dat	0	0	Dispreferred
8	41	SL	0	0	Dispreferred
8	43	AP	0	0	Dispreferred
8	44	SL	1	1	Preferred
8	45	Dat	1	0	Preferred
8	47	SL	0	1	Dispreferred
8	48	Dat	0	0	Dispreferred
9	1	AP	1	0	Preferred
9	4	AP	1	1	Preferred
9	6	Dat	1	1	Preferred
9	7	AP	0	0	Dispreferred
9	9	Dat	0	0	Dispreferred
9	10	AP	0	0	Dispreferred
9	11	SL	1	1	Preferred
9	13	AP	0	1	Dispreferred
9	14	SL	0	1	Dispreferred
9	15	Dat	0	1	Dispreferred
9	16	AP	1	0	Preferred
9	19	AP	0	0	Dispreferred
9	20	SL	1	1	Preferred
9	21	Dat	1	1	Preferred
9	24	Dat	1	1	Preferred
9	25	AP	1	0	Preferred
9	28	AP	1	0	Preferred
9	31	AP	0	0	Dispreferred
9	33	Dat	1	1	Preferred
9	36	Dat	0	1	Dispreferred
9	37	AP	0	0	Dispreferred
9	38	SL	0	1	Dispreferred
9	39	Dat	1	1	Preferred
9	40	AP	0	1	Dispreferred
9	41	SL	1	1	Preferred
9	42	Dat	0	1	Dispreferred
9	43	AP	1	0	Preferred
9	44	SL	0	1	Dispreferred
9	45	Dat	0	1	Dispreferred
9	46	AP	1	0	Preferred
9	47	SL	1	1	Preferred
10	3	Dat	0	0	Dispreferred
10	4	AP	1	1	Preferred
10	6	Dat	1	0	Preferred
10	7	AP	0	1	Dispreferred
10	9	Dat	0	0	Dispreferred
10	10	AP	0	1	Dispreferred
10	12	Dat	1	1	Preferred
10	13	AP	0	0	Dispreferred
10	15	Dat	0	0	Dispreferred
10	16	AP	1	1	Preferred
10	17	SL	1	0	Preferred
10	18	Dat	0	0	Dispreferred
10	19	AP	0	1	Dispreferred
10	21	Dat	1	0	Preferred
